cedar-atacseq-v5.0.0,bulkatacseq-v0,bulkatacseq-v1,scatactseq-v0,scatactseq-v1
parent_sample_id,tissue_id,tissue_id,tissue_id,tissue_id
lab_id,,,,
preparation_protocol_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi,protocols_io_doi
dataset_type,assay_type,assay_type,assay_type,assay_type
analyte_class,analyte_class,analyte_class,analyte_class,analyte_class
is_targeted,is_targeted,is_targeted,is_targeted,is_targeted
acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor,acquisition_instrument_vendor
acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model,acquisition_instrument_model
source_storage_duration_value,,,,
source_storage_duration_unit,,,,
time_since_acquisition_instrument_calibration_value,,,,
time_since_acquisition_instrument_calibration_unit,,,,
contributors_path,contributors_path,contributors_path,contributors_path,contributors_path
data_path,data_path,data_path,data_path,data_path
barcode_offset,,,cell_barcode_offset,cell_barcode_offset
barcode_read,,,cell_barcode_read,cell_barcode_read
barcode_size,,,cell_barcode_size,cell_barcode_size
umi_offset,,,,
umi_read,,,,
umi_size,,,,
assay_input_entity,,,sc_isolation_entity,sc_isolation_entity
number_of_input_cells_or_nuclei,bulk_transposition_input_number_nuclei,bulk_transposition_input_number_nuclei,transposition_input,transposition_input
library_adapter_sequence,library_adapter_sequence,library_adapter_sequence,library_adapter_sequence,library_adapter_sequence
library_average_fragment_size,library_average_fragment_size,library_average_fragment_size,library_average_fragment_size,library_average_fragment_size
library_input_amount_value,,,,
library_input_amount_unit,,,,
library_output_amount_value,library_final_yield_value,library_final_yield_value,library_final_yield,library_final_yield
library_output_amount_unit,library_final_yield_unit,library_final_yield_unit,library_final_yield_unit,library_final_yield_unit
library_concentration_value,library_concentration_value,library_concentration_value,,
library_concentration_unit,library_concentration_unit,library_concentration_unit,,
library_layout,library_layout,library_layout,library_layout,library_layout
number_of_pcr_cycles_for_indexing,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index,library_pcr_cycles_for_sample_index
library_preparation_kit,library_preparation_kit,library_preparation_kit,,
sample_indexing_kit,,,,
sample_indexing_set,,,,
is_technical_replicate,is_technical_replicate,is_technical_replicate,is_technical_replicate,is_technical_replicate
expected_entity_capture_count,,,,
sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit,sequencing_reagent_kit
sequencing_read_format,sequencing_read_format,sequencing_read_format,sequencing_read_format,sequencing_read_format
transposition_reagent_kit,transposition_kit_number,transposition_kit_number,transposition_kit_number,transposition_kit_number
transposition_method,transposition_method,transposition_method,transposition_method,transposition_method
sequencing_batch_id,,,,
capture_batch_id,,,,
preparation_instrument_vendor,,,,
preparation_instrument_model,,,,
preparation_instrument_kit,,,,
amplification_PCR_cycles,library_pcr_cycles,library_pcr_cycles,library_pcr_cycles,library_pcr_cycles
metadata_schema_id,,,,
,assay_category,assay_category,assay_category,assay_category
,donor_id,donor_id,donor_id,donor_id
,execution_datetime,execution_datetime,execution_datetime,execution_datetime
,library_construction_protocols_io_doi,library_construction_protocols_io_doi,library_construction_protocols_io_doi,library_construction_protocols_io_doi
,library_creation_date,library_creation_date,,
,library_id,library_id,library_id,library_id
,operator,operator,operator,operator
,operator_email,operator_email,operator_email,operator_email
,pi,pi,pi,pi
,pi_email,pi_email,pi_email,pi_email
,sample_quality_metric,sample_quality_metric,,
,bulk_atac_cell_isolation_protocols_io_doi,bulk_atac_cell_isolation_protocols_io_doi,,
,,,sc_isolation_enrichment,sc_isolation_enrichment
,,,sc_isolation_protocols_io_doi,sc_isolation_protocols_io_doi
,,,sc_isolation_quality_metric,sc_isolation_quality_metric
,,,sc_isolation_tissue_dissociation,sc_isolation_tissue_dissociation
,,,sc_isolation_cell_number,sc_isolation_cell_number
,sequencing_phix_percent,sequencing_phix_percent,sequencing_phix_percent,sequencing_phix_percent
,sequencing_read_percent_q30,sequencing_read_percent_q30,sequencing_read_percent_q30,sequencing_read_percent_q30
,transposition_transposase_source,transposition_transposase_source,transposition_transposase_source,transposition_transposase_source
,,version,,version
,,description,,description
